#METADATA
questionnaire_id,ces-d
title_en,CES-D Depression Scale
title_fr,Échelle de dépression CES-D
description_en,"Please read each question carefully, then circle one of the numbers to the right to indicate how you felt or behaved during the past week, including today."
description_fr,"Veuillez lire attentivement chaque question, puis entourez un des chiffres à droite pour indiquer comment vous vous êtes senti ou avez agi au cours de la semaine passée, y compris aujourd'hui."
type,single_page
language,en,fr

#QUESTIONS
question_id,question_text_en,question_text_fr,response_id
q1,"I was bothered by things that usually don’t bother me","J'étais dérangé par des choses qui ne me dérangent habituellement pas",r0
q2,"I did not feel like eating; my appetite was poor","Je n'avais pas faim ; mon appétit était faible",r0
q3,"I felt that I could not shake off the blues even with help from my family and friends","Je sentais que je ne pouvais pas me débarrasser de la tristesse même avec l'aide de ma famille et de mes amis",r0
q4,"I felt that I was just as good as other people","Je sentais que j'étais aussi bien que les autres",r0
q5,"I had trouble keeping my mind on what I was doing","J'avais du mal à me concentrer sur ce que je faisais",r0
q6,"I felt depressed","Je me sentais déprimé(e)",r0
q7,"I felt that everything I did was an effort","Tout ce que je faisais demandait un effort",r0
q8,"I felt hopeful about the future","J'étais optimiste pour l'avenir",r0
q9,"I thought my life had been a failure","Je pensais que ma vie avait été un échec",r0
q10,"I felt fearful","J'avais peur",r0
q11,"My sleep was restless","Mon sommeil était agité",r0
q12,"I was happy","J'étais heureux(se)",r0
q13,"I talked less than usual","Je parlais moins que d'habitude",r0
q14,"I felt lonely","Je me sentais seul(e)",r0
q15,"People were unfriendly","Les gens étaient hostiles",r0
q16,"I enjoyed life","J'ai apprécié la vie",r0
q17,"I had crying spells","J'ai eu des épisodes de pleurs",r0
q18,"I felt sad","Je me sentais triste",r0
q19,"I felt that people disliked me","Je sentais que les gens m'aimaient moins",r0
q20,"I could not get going","Je ne pouvais pas me mettre en route",r0

#RESPONSES
response_id,response_value_en,response_value_fr
r0_0, Rarely or none of the time, Rarement ou pas du tout
r0_1, Some or a little of the time, Parfois ou un peu
r0_2, Occasionally or a moderate amount of the time, Occasionnellement ou modérément
r0_3, Most or all of the time, La plupart du temps

#SCORE MESSAGES
score_min,score_max,message_en,message_fr
0,15,"Minimal depressive symptoms","Symptômes dépressifs minimaux"
16,23,"Mild depressive symptoms","Symptômes dépressifs légers"
24,100,"Moderate to severe depressive symptoms","Symptômes dépressifs modérés à sévères"


